0000915912,AVALONBAY COMMUNITIES INC,VA
0001519120,Aviv Healthcare Properties L.P.,IL
0001438236,"Aviv REIT, Inc.",IL
0001499686,"AVIV REIT, INC.",IL
0000749882,BANYAN SHORT TERM INCOME TRUST,IL
0001464487,"BAYVIEW MORTGAGE CAPITAL, INC.",FL
0001063893,BEACON CAPITAL PARTNERS INC,MA
0000920114,BEACON PROPERTIES CORP,MA
0000757448,BEDFORD PROPERTY INVESTORS INC/,CA
0000910079,BEDFORD PROPERTY INVESTORS INC/MD,
0001308711,"Behringer Harvard Opportunity REIT I, Inc.",TX
0001200751,BELL SAMUEL P,CA
0001086670,BELLAVISTA CAPITAL INC,CA
0001749817,"Belpointe REIT, Inc.",CT
0001326895,Belvedere Trust Mortgage CORP,CA
0001056683,BENDER THOMAS B,GA
0001562528,"Benefit Street Partners Realty Trust, Inc.",NY
0001055853,BERGER MARTIN S,
0001267414,"Berkeley Income Trust, Inc.",CA
0001330864,"Berkeley Income Trust, Inc.",CA
0000869446,BERKSHIRE REALTY CO INC /DE,MA
0001020943,BIGGS MICHAEL W,TX
0001275477,"BIMINI CAPITAL MANAGEMENT, INC.",FL
0001289236,BioMed Realty Trust Inc,CA
0001327978,Black Creek Diversified Property Fund Inc.,CO
0001625941,BLACK CREEK INDUSTRIAL REIT IV Inc.,CO
0001061630,"BLACKSTONE MORTGAGE TRUST, INC.",NY
0001662972,"Blackstone Real Estate Income Trust, Inc.",NY
0001442626,"Bluerock Residential Growth REIT, Inc.",NY
0000812150,BNP RESIDENTIAL PROPERTIES INC,NC
0001073011,BODDIE B MAYO,
0001260793,BOSTON CAPITAL REAL ESTATE INVESTMENT TRUST INC,
0001037540,BOSTON PROPERTIES INC,MA
0001043121,BOSTON PROPERTIES LTD PARTNERSHIP,MA
0001015859,BOYKIN LODGING CO,OH
0000805730,BPP LIQUIDATING TRUST,CA
0001039189,BRADLEY OPERATING L P,IL
0000013777,BRADLEY REAL ESTATE INC,IL
0001574085,Braemar Hotels & Resorts Inc.,TX
0001060386,"BRANDYWINE OPERATING PARTNERSHIP, L.P.",PA
0000790816,BRANDYWINE REALTY TRUST,PA
0000913762,BRAUVIN NET LEASE V INC,IL
0000009677,BRE PROPERTIES INC,CA
0001011174,BRE PROPERTIES INC /MD/,CA
0001566445,BRE Select Hotels Corp,NY
0001562620,BRIDGEWELL INCOME TRUST LLC,FL
0001723028,"BRIX REIT, Inc.",CA
0001630031,Brixmor Operating Partnership LP,NY
0001581068,Brixmor Property Group Inc.,NY
0001424182,"Broadstone Net Lease, Inc.",NY
0001537063,Brookfield Canada Office Properties,A6
0001575311,Brookfield DTLA Fund Office Trust Investor Inc.,NY
0001496048,Brookfield Property REIT Inc.,IL
0001470643,Brookfield Realty Capital Corp,NY
0001057230,BROOKS WILLIAM C,TX
0001676398,BRT Apartment Corp.,NY
0000014846,BRT Apartments Corp.,NY
0001073016,BRUNO PAMELA B,NC
0000790817,BSRT LIQUIDATING TRUST,IL
0000015019,BTR REALTY INC,MD
0001047696,CABOT INDUSTRIAL TRUST,MA
0001174891,"CalEthos, Inc.",TX
0000874500,CALIFORNIA PROPERTIES FUND,CA
0001478371,"Callahan Capital Properties, Inc.",IL
0000906345,CAMDEN PROPERTY TRUST,TX
0001020941,CAMPO RICHARD J,
0001049316,CAPITAL AUTOMOTIVE REIT,VA
0001287073,CAPITAL LODGING,TX
0000354521,CAPITAL REALTY INVESTORS LTD,MD
0000016387,CAPITAL TRUST,NY
0001438355,CapitalSource Healthcare REIT,CA
0001406982,Capitol Acquisition Corp,MN
0001057689,"CapLease, Inc.",NY
0001687237,"CapRocq Core REIT, Inc.",AR
0001551767,"CapSource Fund I, LP",NV
0000766701,CAPSTEAD MORTGAGE CORP,TX
0000921767,CAPSTONE CAPITAL CORP,AL
0001045281,CAPTEC NET LEASE REALTY INC,MI
0001639947,"Care Capital Properties, Inc.",IL
0001683867,"Care Capital Properties, LP",IL
0001590717,"CareTrust REIT, Inc.",CA
0000873394,CAREY INSTITUTIONAL PROPERTIES INC /MD/,NY
0001609471,Carey Watermark Investors 2 Inc,NY
0000893577,CARRAMERICA REALTY CORP,DC
0001284410,CARRAMERICA REALTY OPERATING PARTNERSHIP LP,
0001567925,"Carter Validus Mission Critical REIT II, Inc.",FL
0001482974,"Carter Validus Mission Critical REIT, Inc.",FL
0001341141,"CatchMark Timber Trust, Inc.",GA
0001228862,CATELLUS DEVELOPMENT CORP,CA
0000915140,CBL & ASSOCIATES LIMITED PARTNERSHIP,TN
0000910612,CBL & ASSOCIATES PROPERTIES INC,TN
0001037114,CCA PRISON REALTY TRUST,TN
0000761648,"CEDAR REALTY TRUST, INC.",NY
0000736980,CENTENNIAL MORTGAGE INCOME FUND,CA
0000913292,CENTER TRUST INC,CA
